term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
bauernhaus,"Meine Familie hat ein Bauernhaus mit vielen Tieren, wie...",en,farmhouse,,
gestern,Wie gewöhnlich bin ich gestern aus der Arbeit nach...,en,yesterday,,
treibhaus,...es aber ein großes Treibhaus.,en,greenhouse (das),,
pass auf,"...diesen Zahlen und Buchstaben ... Pass auf.""",en,"pay attention,  be careful; listen, look",,
taschenlampe,Michael nimmt eine Taschenlampe aus der Rucksack.,en,(die) Flashlight,,
stört,"...die Ruhe des Pharaos stört.""",en,"disturb, bother",,
sitzt du auch in der patsche,"...leid“, sagt er. „Jetzt sitzt du auch in der Patsche.“",uk,ти теж у скрутному становищі.,,
mitglieder,"...können die Schreibübungen anderer Mitglieder korrigieren, wenn Sie wollen.",en,member,,
jahrhundert,...alle Bayern im letzten Jahrhundert.,en,(das) century,,
zwingen,Sie zwingen mich in ein Zimmer...,en,"compel, force, coerce, constrain, enforce, bring about through the use of power,",,
ruhe,...aber fraß in aller Ruhe weiter.,en,"(die) peace, calm, quiet, tranquility, quietness",,
nennen,Aber meine Freunde nennen mich Alex.,en,"to call, name sth",,
patsche,...du auch in der Patsche.“,uk,"(die, -n) n. неприємності, передряга",,
ergebnis,Das Ergebnis war wirklich erstaunlich; die...,en,"(das) result, outcome, conclusion",,
erstaunlich,Das Ergebnis war wirklich erstaunlich; die Falten sind mit...,en,"adj., adv. amazing, astonishing, astounding, impressive",,
großartige,"...gesagt: ,Das ist eine großartige Entdeckung.",en,great,,
zarte,"...weißt, ich habe sehr zarte Füße ... Ich habe eine...",en,"adj. soft, delicate, mild, tender, gentle, fragile",,
falten,...war wirklich erstaunlich; die Falten sind mit jedem Tag...,en,"(die) wrinkles, creases",,
semmeln,"Semmelknödel sind aus Semmeln (bayerisch für Brötchen), Eiern...",uk,рол,,
verdienen,...ich endlich mal Geld verdienen!'“,en,"earn, make (money)",,
beilage,...isst sie oft als Beilage.,uk,гарнір,,
knödel,"Wer weiß, was Knödel sind?",en,"(der, -n) dumpling, knedel",uk,"(der, -n) вареники"
spätzle,Spätzle sind gelb oder grün...,uk,макарони з чимось там,,
teig,...sind runde Balle aus Teig.,uk,"(der, -e) тісто",en,"(der, -e) n. dough"
sanften,...die Frau mit einer sanften Stimme.,uk,ніжний,,
schlank,Ich bin groß und schlank.,en,"slim, thin",,
fasching,...Oktoberfest oder beim Münchner Fasching kennengelernt.,en,"costume, carnival",,
gier,Ihre Gier hat sie kriminell gemacht...,uk,"(die, тільки однина) жадібність",,
störung,Entschuldigen Sie die Störung!,en,"(die, -en) порушення, неспокій, турбота, помилка, переривання",,
diesmal,Mein Wecker hat diesmal nicht geklingelt,ru,на этот раз,,
steckte,Anstelle des Pferdes steckte nun der Wolf im...,en,"(ich // er...) stuck, put, placed [präteritum]",,
böse,Sein Vater ist sogar böse geworden,en,"adj. bad; evil, wicked; angry, mad",,
fehler,Durch Fehler kann man lernen.,en,"mistake/s, error/s",,
erreichten,...durch die Landschaft und erreichten schließlich Sankt Petersburg.,en,"v.  reach, arrive; forereach, come at, catch up with; achieve, obtain, attain",,
einwohner,Millionen Einwohner leben hier,en,"(der) inhabitant, resident",,
regelmäßig,...neuen Wörter und Sätze regelmäßig wiederholen.,en,regularly,,
erinnerte,dem Fenster geschaut und erinnerte mich an meine Zeit,en,"recall, remember",,
schwierig,Anfangs ist es schwierig mit einem Muttersprachler zu...,en,"difficult, hard",,
weile,Nach einer Weile war von meinem Pferd...,en,"while, period of time",,
fühle,"Ich fühle mich schlecht "" .",en,(ich) feel [mich],,
tiefer,...und fraß sich immer tiefer in mein Pferd.,en,"deep(er), low(er)",,
angekommen,pünktlich bei der Arbeit angekommen bin,en,"to arrive, to come",,
waffen,"...und auch sie tragen Waffen, aber auch eine Uniform.",en,"(die, -n) n. weapon",,
geschrieben,...da Vinci hat so geschrieben.,en,written,,
drinsteht,"...sagst uns jetzt, was drinsteht.“",en,(es/sie/es) is in there,,
richtet,Er richtet sie auf mich.,en,"(er/sie/es) v. straighten, direct, aim, point, fix, repair",,
handschellen,"Handschellen raus, klick - klick - das...",en,handcuffs,,
wirkung,Die Wirkung der Creme verschwindet langsam...,en,"(die) effect, result, influence",,
zeilen,Er hat erst zwei Zeilen geschrieben.,en,"n. line, row",,
schreck,...Pferd lief vor lauter Schreck und Schmerz noch schneller...,en,"fright, sudden fear, scare, fear",,
herstellen,...Sie können eine Supercreme herstellen.“,en,"manufacture, fabricate, produce",,
unterbreche,"...Jahre ... es ist egal“, unterbreche ich ihn.",en,"discontinue, interrupt, stop, cease",,
beobachte,Ich beobachte ihn und er sagt:,en,"(ich) v. observe, watch, study; monitor; sight, view",,
tuch,Das Tuch in meinem Mund schmeckt...,en,"(das) cloth, sheet, towel",,
hübsch,Augen sind und wie hübsch ich bin,ru,"красивый, благообразный, статный,..интересный",,
beamte,"...den König arbeiten Priester, Beamte und Minister, die man...",en,"(der) clerks, officials",,
spätestens,Spätestens um 21:30 Uhr gehe,en,"adv.  at the latest, not later than, only before (the latest possible time)",,
kräftig,...die Peitsche und schlug kräftig auf den Wolf ein.,en,"strong, powerful",,
ehemann,bin heute mit meinem Ehemann verabredet,en,"(der) husband, male spouse, married man",,
dünn,...mein Mantel viel zu dünn und so fror ich...,en,"fine, delicate; thin, flimsy, frail, fragile, meager, insubstantial, scant, little, insufficient, reduced, sparse; faint, dilute, watery, gangling, tall and skinny, gaunt, slim",,
nebenbei,Nebenbei höre ich mir einfache...,en,in addition; by the way; moreover,,
ausflug,freuen sich auf den Ausflug,en,"(der) exposure to air; excursion, trip",,
wechseln,...blaue Wort die Farbe wechseln.,en,"to change, switch",,
gesetze,"...gut organisiert, es gibt Gesetze und Steuern, die man...",en,"(das, -e) n. pl. law, act, institute, institution, principle",,
vorbereiten,"gehen und das Abendessen vorbereiten, weil ich heute meine",en,"prepare, ready, put into the proper condition, make ready",,
klamotten,"Julia hat viele Klamotten, aber auch altes Spielzeug,…",en,"(die) gear, clothes; rags",,
gemälde,…bisschen Schmuck und ein Gemälde.,en,"(das)  n. painting, picture, drawing",,
unterhaltung,Die Unterhaltung mit den anderen Verkäufern…,en,"(die) conversation, entertainment, pastime",,
geschirr,"…aber auch altes Spielzeug, Geschirr, das sie nicht mehr…",en,"(das) plates and dishes, dishes",,
abräumen,"Entschuldigung, darf ich abräumen?",en,"clear up, clear something",,
angelächelt,Schluss hat es mich angelächelt und ist gegangen,en,"(er/sie/es) v. perf. to smile at, smile upon",,
geduldig,Sei geduldig und habe keine Angst...,en,patient,,
untersuchung,"Nach der Untersuchung sagt er ihr : "" Du...",en,"examination, inspection",,
verlasse,Um 07:00 Uhr verlasse ich das Haus,en,"(ich) leave; to quit, leave, abandon, vacate, evacuate, relinquish",,
marionettenschauspiel,...gibt um 19:30 Uhr ein Marionettenschauspiel.,en,Puppet show,,
klebt,und klebt ihn an die Scheibe.…,en,"stick, glue",,
gegenständen,"…Wow, mit den neuen Gegenständen sieht es gleich viel…",en,"(der, plural) objects, things",,
lärmschutz,…auch zuständig für den Lärmschutz.,en,noise protection,,
verarbeiten,"...Diamanten, Marmor und Sandstein verarbeiten.",en,develop,,
zuständig,…Sie sind aber auch zuständig für den Lärmschutz.,en,responsible,,
ruhenden,"…um die Überwachung des ruhenden Verkehrs,",en,"resting, still (not flowing)",,
gespannt,"Markus ist schon gespannt, was heute noch alles…",en,"tense, nervous; in suspense, anxious; await eagerly",,
überwachung,"…kümmern sich um die Überwachung des ruhenden Verkehrs,",en,"surveillance, monitoring",,
ordnungsamt,#495 das Ordnungsamt,en,der.     (municipal) public order office     admin. regulatory agency,,
verkehrs,"…die Überwachung des ruhenden Verkehrs,",en,traffic/communication,,
belegtes,…einem kleinen Bäcker ein belegtes Brötchen.,en,"filled, topped, covered",,
dienst,…Morgen. Gleich beginnt der Dienst von Markus.,en,service (der),,
gültiges,…schwarzer Audi hat kein gültiges Parkticket. Alex stellt einen…,en,valid,,
abgelaufen,…seit über zwei Stunden abgelaufen. Es tut mir leid.,en,"run down, expire, terminate",,
gelaunt,…Der Mann akzeptiert schlecht gelaunt das Ticket.,en,mood,,
zufällig,...einer Bibliothek in Peking zufällig einen alten Text gelesen...,en,accidentally,,
bericht,"korrigiert, erhalten Sie einen Bericht",en,(der) the report,,
austauschen,"...sich mit anderen Mitgliedern austauschen, die Ihre Sprache lernen.",en,"exchange, interchange, compare, (sich) swap ideas on",,
angezogen,und habe mich sofort angezogen,ru,одетый,,
bildschirmen,Auf Bildschirmen sind kurze Schauspiele zu…,en,"(der, -e) n. pl. displays, screens, monitors",,
ohr,"...flüstert seiner Oma ins Ohr: „Das stimmt nicht, Omi!",en,"(das, -en) n. ear",,
schauen,...kurz nach dem Jungen schauen.,en,"show, look, gaze, watch",,
scherze,"...streng an, obwohl seine Scherze ihre Angst vertrieben.",en,Jokes,,
streng,"...auf!« Meggie sah ihn streng an, obwohl seine Scherze...",en,"strict, rigid, severe, harsh, serious, stern",,
schneidet,Patrick schneidet die Pappe mit der...,en,"carve, chop, cut",,
einzutreten,"...Labor von Papa Schmidt einzutreten, gehen Patrick und Susan...",en,"v. enter, go into, step inside; join, become a member; occur, happen, take place",,
drohungen,Es gab Drohungen gegen sie.,en,threats,,
sammler,...es sonst? Ein verrückter Sammler? Ein Schatzsucher?“,en,"collector, gatherer",,
lächelt,Emma lächelt: Hier gibt es wirklich...,en,(er/sie/es/ihr) to smile,,
sicher,...sie muss ihn beruhigen: „Sicher geht es Felix gut...,en,"certain, sure,safe",,
erbe,"Sein Erbe, Papa Schmidt Junior, war...",en,(der) inheritance; heir,,
unterbricht,"Nein“, unterbricht ihn Michael. „Nein. Ich...",en,"discontinue, interrupt",,
besitzer,…diesem Moment kommt der Besitzer des Autos angelaufen.,en,"(der) holder, owner, occupier, possessor, proprietor,",,
schüleraustausch,Sie nimmt an einem Schüleraustausch teil.,en,student exchange,,
wärter,"...zum Ausgang“, sagt der Wärter.",en,"(der, -) n. keeper, guard, supervisor",,
bildschirm,…drei Minuten wird der Bildschirm schwarz und ein neues…,en,"(der, -e) n. screen, monitor, display",,
schiebt,Eine Hand schiebt den Koffer zur Seite,en,"v. push, wheel, slide, shove; shunt, switch on railroad tracks",,
beweise,"Ich habe keine Beweise , und außerdem bin ich...",en,evidence,,
komplizen,"...vielleicht hatte er einen Komplizen?""",en,Accomplice,,
zurückgebliebenes,Ein zurückgebliebenes Kind?“ Doch das ist...,en,intellectually disabled,,
kaum,Man hört ihn kaum.,en,"barely, hardly",,
unterscheiden,...da sie sich leichter unterscheiden lassen als „jemandem oder...,en,"distinguish, differentiate",,
verwendung,"...ich, Hilfe bei der Verwendung der Objekte im Deutschen...",en,"n. usage, use, employment, utilization, putting to practical use, expenditure, applying",,
jemanden,Jemanden um den Finger wickeln,en,somebody,,
verwende,"Welches Objekt ich verwende, hängt vom Zeitwort oder...",en,"(ich) v. use, utilize, take advantage of, make use of",,
versuchte,"So versuchte ich, meinem Pferd zu...",en,tried,,
meisten,Die meisten Mädchen finden ihn hübsch,en,most,,
anhand,Anhand einiger Beispiele versuche ich...,en,"by, by means of, by way of",,
deshalb,"Bus war kein Fahrkartenautomat, deshalb musste ich mir eine",en,"therefore, that's why, for this",,
boden,...im Bad auf dem Boden.,en,"ground, earth",,
kommenden,muss leider an der kommenden Haltestelle aussteigen,ru,предстоящий,,
angeblich,"Angeblich ist Bio gesünder, natürlicher...",uk,нібито,,
nachhaltiger,"...Bio gesünder, natürlicher und nachhaltiger.",uk,більш екологічно вигідний,,
stattdessen,Stattdessen setzen Bio-Bauern auf...,en,instead of this,,
berühmte,...Luxor gibt es das berühmte Mumienmuseum.,en,famous,,
kette,"Seine Kette!""",en,(die) chain,,
streiten,...hört Georg sie immer streiten.,en,"dispute, argue, fight",,
gesetzt,"kurz auf eine Bank gesetzt, weil ich sehr müde",en,to set / establish something in one`s head,,
versprochen,Wie versprochen schrieb er jeden Tag...,en,"adj. promised, pledged, avowed,",,
ganz,"Sie haben ein ganz besonderes Talent, andere zu...",en,"[adv.] all, very, completely, wholly, quite, really;   [adj.]  complete, right, whole, entire",,
zog,...Wolf im Pferdegeschirr1 und zog den Schlitten.,en,to pull out; to put on,,
empfehlen,...kann Ihnen eine Pension empfehlen.,en,"recommend, suggest",,
plötzlich,Da bleibt er plötzlich stehen.,en,"adj, adv abrupt, suddenly, unexpectedly",,
korn,"...Steuern, die man auf Korn und Vieh bezahlen muss.",en,"(das, no pl.) grain, seed",,
künstliche,weder Gentechnik noch künstliche Düngemittel und Pestizide eingesetzt,en,"artificial, manmade, synthetic, manufactured",,
lärm,...soll man bei dem Lärm in Ruhe denken können?,uk,шум,,
beutel,"Das muss der Beutel sein, den Herr Beier...",en,"(das) bag, sac, pack",,
bedeutet,"Das bedeutet, dass Sie dazugelernt haben.",en,(he/she/it) means,,
weinen,"Sie hat angefangen, zu weinen",en,to cry,,
abenteuer,"...wir sollten über unser Abenteuer echt ein Drehbuch schreiben.""",en,adventure,,
hübsche,...ihr Vater und der hübsche Baron Innstetten.,en,"good-looking, attractive, pretty, beautiful",,
anbau,"...gilt jedoch, dass beim Anbau von Bio-Lebensmitteln",en,"(der) annex, attachment; development",,
erfunden,"...Geschichte mit der Fluch erfunden, ha ha ha! ...",en,"adj. invented, fictional",,
heft,...nimmt sein Micky Maus-Heft aus dem Rucksack und...,en,"(das) handle; booklet, little book, exercise book, notebook, book for writing school exercises; magazine",,
fläche,Es hat nämlich eine Fläche von über 70.000 km...,en,"surface, area",,
landwirtschaft,"...das man durch Bio-Landwirtschaft erreichen möchte,",en,"farming, agriculture",,
schlitten,...Pferdegeschirr1 und zog den Schlitten.,en,slide,uk,сани
fruchtwechsel,wie Fruchtwechsel und Bio- Düngemittel wie...,en,(der) crop rotation,,
allgemein,"Allgemein gilt jedoch, dass beim...",en,generally,,
verlaufen,ARZT: Alles ist gut verlaufen.,en,"go, proceed, go off, pass,",,
absichten,Die Absichten hinter dem Kauf von...,en,"(f. Absicht) intention, intent",,
düngemittel,weder Gentechnik noch künstliche Düngemittel und Pestizide eingesetzt,en,(das) n. fertilizers,,
eingesetzt,...künstliche Düngemittel und Pestizide eingesetzt,en,"use, deploy",,
verbirgt,...BIO tatsächlich Sinn oder verbirgt sich dahinter,en,"v. hide, conceal, keep secret, place out of sight, belie",,
zweifel,...Bio-Produkten sind ohne Zweifel gut,en,"(der) lack of certainty, doubts",,
dankbar,Dankbar nimmt er die Flasche...,en,grateful,,
fühlt,Julia fühlt sich nicht gut.,en,(er//ihr) to feel (sich),,
gefangen,...werden von John Mitchell gefangen gehalten.,en,"caught; imprisoned; trapped, captured",,
schirm,...und guckt auf den Schirm.,en,"(der) umbrella, shield, shade, shielding; screen, monitor, surface onto which films are projected; shelter",,
gefesselt,"...liegt Felix und schläft, gefesselt.",en,"chained, bound, captivated",,
aufhören,…und kann nicht mehr aufhören.,en,stop,,
schuldig,"...sicher, dass John Mitchell schuldig ist.",en,"guiltily, culpably",,
folter,"...macht, kann ich die Folter nicht länger aushalten und...",uk,тортури,,
betrachtet,...er nimmt sie und betrachtet sie aber ein Alarm...,en,"(er/sie/es) considers, thinks about carefully; regards, views, believes; looks at, observes",,
verbindung,...aber es gibt keine Verbindung.,en,connection (die),,
vorsichtig,Vorsichtig legt sie dem Kind...,en,"adv.  carefully, cautiously, warily, guardedly, prudentially 
adj. careful, cautious, chary, wary, prudent, circumspect, guarded",,
enge,"...Es ist eine kleine, enge Straße.“",en,"adj.  narrow, tight, confined, close-fitting, strait, restricted, limited, close",,
spinnennetze,Überall sind Staub und Spinnennetze.,en,cobwebs,,
beeilen,Ich musste mich beeilen und habe mich sofort,ru,"торопиться, спешить",,
verwendet,Stefan verwendet es auch für seine...,en,"use, utilize",,
beobachtet,Vielleicht beobachtet Sie jemand!,en,"observe, watch",,
gasse,...kommen zu einer engen Gasse.,en,alley,,
wahrer,"...falscher Sammler, aber ein wahrer Dieb.“",en,"true, real",,
ausstellung,"Für eine letzte Ausstellung“, sagt Patrick.",en,"exhibition, display, show",,
verbunden,...Falltür mit dem Labor verbunden.,en,connected,,
schere,"...habe zwei Taschenlampen, eine Schere, ein Messer und eine...",en,(die) scissors,,
kumpel,"...Sammler, und seine zwei Kumpel.",en,"(der, ‐) buddy, fellow, bro",,
knarrt,...und in diesem Moment knarrt die Falltür.,en,"(er/sie/es) v. creaks, squeaks, makes a harsh grating noise",,
nebenan,Er wohnt im Haus nebenan.,en,from next door,,
nahem,...wollen die Marionette vom Nahem sehen.,en,"adj. adjacent, near, close, nearby; next, approaching, close in time,  middle",,
schafft,"...sehr gut aus und schafft es, die Amerikaner hinter...",en,"make, do; manage, handle; create, produce, cause, make happen; work,",,
mich beeilen,Ich musste mich beeilen und habe mich sofort,ru,поторопись,,
pappe,...ist von einem Stück Pappe blockiert.“,en,"(die) n. pasteboard, cardboard, paperboard, board made from compressed paper",,
lustigen,"Er spricht mit einer lustigen Stimme, der Stimme einer...…",en,"comical, funny, amusing, humorous,cheerful,",,
falltür,...Keller ist durch eine Falltür mit dem Labor verbunden.,en,(die) trapdoor,,
sammlung,...Objekte und ist somit die größte Sammlung für ägyptische...,en,"collection, accumulation",,
stürzen,...die schmutzige Straße herunter stürzen.,en,"fall, plunge; rush, dash; fling, hurl; overthrow (from power)",,
erträglich,"...die allein mein Leben erträglich macht, kann ich die...",en,"bearable, tolerable",,
mittellos,Mittellos und am Ende meiner...,uk,знедолений,,
dachkammer,...mich vom Fenster dieser Dachkammer auf die schmutzige Straße...,uk,горище,,
genügen,Das soll genügen.,en,"suffice, be enough",,
belastung,"...Zeilen unter beträchtlicher seelischer Belastung, denn nach der heutigen...",uk,навантаження,,
beträchtlicher,"...schreibe diese Zeilen unter beträchtlicher seelischer Belastung, denn nach...",en,"considerable, significant, large, substantial, extensive, sizable",,
aushalten,...die Folter nicht länger aushalten und werde mich vom...,uk,витримати,,
seelischer,"...diese Zeilen unter beträchtlicher seelischer Belastung, denn nach der...",en,"mental, (emotional, spiritual)",,
vorräte,"...und am Ende meiner Vorräte der Droge, die allein...",en,"n. stock, supply, provision, stockpile (forage)",,
droge,"...Ende meiner Vorräte der Droge, die allein mein Leben...",en,(die) drug,,
knechtschaft,"...meiner Existenz in der Knechtschaft des Morphiums, dass ich...",en,"n.  bondage, slavery, servitude, enslavement",,
schwächling,"...Morphiums, dass ich ein Schwächling oder Degenerierter bin.",uk,слабак,,
aufmerksam,...die Arme!“ Georg hört aufmerksam zu.,en,"attentive, observant, mindful",,
neidisch,Ist Franz denn neidisch auf Michael?,en,"envious, jealous",,
ruhige,...gibt es wirklich eine ruhige Mittagszeit!,en,"quiet, calm",,
scheiden,...sind gerade dabei sich scheiden zu lassen. Nach 25...,en,"divide, part, cut",,
bewundern,...von den großen Pharaonen bewundern.,en,"admire, adore, venerate, marvel, be impressed by someone",,
denen,"...Menschen bei LingQ, mit denen Sie in Kontakt bleiben...",en,"them, whom, which",,
vollständig,"...zu erahnen, doch niemals vollständig zu begreifen, warum ich...",uk,повністю,,
schweigsam,Er ist schweigsam und schüchtern.,en,"silent, quiet",,
bescheinigung,...Sie mir vielleicht eine Bescheinigung geben?“ Der Direktor sagt...,en,"certificate, official document (die)",,
zeugnis,...ich will nicht ohne Zeugnis fortgehen.,en,"(das) evidence, proof, mark, official document",,
frech,"Sie sind frech, Einstein.",uk,нахабний,,
durch,Durch Fehler kann man lernen.,en,through,,
gleichaltrigen,...sehe ich Albert mit Gleichaltrigen zusammen!“ Es ist wahr.,uk,однолітки,,
lädt,Sesemann lädt seinen Freund Doktor Classen,en,"(er/sie/es) v. invite, boot; charge, supply with power; load, burden, pack with cargo",,
fortgehen,...will nicht ohne Zeugnis fortgehen.,en,"leave, depart, walk off; continue, go on,",,
ich stelle,Fernsehen ich stelle dir ein paar Snacks,en,I put,,
abreisen,"muss das fremde Kind abreisen, weil es nicht mehr",en,v.  depart,,
leidet,Er leidet an einer chronischen Bronchitis.,uk,(er/sie/es) страждає,,
lauter,...armes Pferd lief vor lauter Schreck und Schmerz noch...,en,nothing but/ lots of,,
lachen,Emma muss lachen und nimmt Simon an...,en,to laugh,,
phänomene,"...Planeten, UFOs und übernatürliche Phänomene.",en,phenomena {pl},,
faul,"...nicht, da ist etwas faul?""",en,"lazy, rotten",,
vorhang,Patrick geht hinter einen Vorhang.,en,(der) curtain,,
gegenteil,"Im Gegenteil, er mag ihn sehr.",en,"opposite, contrary",,
durcheinander,ist meine Wohnung etwas durcheinander,en,"(das) mix, confusion, chaos, disarray",,
laterne,"...wo nachts kaum eine Laterne brennt, wird man über...",en,(die) lantern,,
entdeckung,...Das ist eine großartige Entdeckung.,en,"discovery, finding, detection,",,
treppen,Ich habe mir die Treppen angeschaut und dachte mir...,en,"stair, staircase; step",,
vermögt,"...gekritzelten Zeilen gelesen habt, vermögt ihr vielleicht zu erahnen...",uk,"(ihr) v. präs. ви можете, маєте змогу, здатні, здібні",,
erahnen,"...vermögt ihr vielleicht zu erahnen, doch niemals vollständig zu...",uk,"здогадуватись, вгадувати, передчувати, передбачати",,
begreifen,"...doch niemals vollständig zu begreifen, warum ich nach Vergessen...",uk,усвідомити,,
ladungsoffizier,"...Paketschiff, auf dem ich Ladungsoffizier war, zur deutschen Kriegsbeute...",uk,старший офіцер,,
gegenden,"...und am seltensten befahrenen Gegenden des Pazifiks, dass das...",en,"(die, -en) n. pl. region, district",,
verfallen,"...komplett ihrer späteren Schande verfallen, so dass unser Schiff...",en,"decay, rot, decompose",,
kriegsbeute,"...Ladungsoffizier war, zur deutschen Kriegsbeute wurde.",uk,"(die, -n) n. військовий трофей",,
offensten,...war in einer der offensten und am seltensten befahrenen...,en,most open,,
seemacht,...seines Verlaufs und die Seemacht der Deutschen war noch...,en,(die) maritime power,,
seltensten,...der offensten und am seltensten befahrenen Gegenden des Pazifiks...,uk,найрідкісніший,,
späteren,"...noch nicht komplett ihrer späteren Schande verfallen, so dass...",uk,пізніше,,
schande,"...nicht komplett ihrer späteren Schande verfallen, so dass unser...",en,"shame, disgrace, infamy, dishonor, ignominy, humiliation, scandal, sin",,
verlaufs,...ganz am Anfang seines Verlaufs und die Seemacht der...,uk,"(der, -:e) n. течія, хід, напрямок, історія, процес",,
befahrenen,"...offensten und am seltensten befahrenen Gegenden des Pazifiks, dass...",uk,"відвідуваний, досліджений",,
dumm,"Zu dumm, aber mein Feuerzeug ist...",en,stupid,,
aufpassen,"auf deine kleine Schwester aufpassen?“ Ich antwortete: „Ja, ich",en,"v. watch, take care, be careful, pay attention",,
kissenecke,...mit Teddys in der Kissenecke.,en,"(die, -n) n. pillow corner",,
erkältet,"...er ihr : "" Du bist erkältet .",en,catch a cold,,
kirchdach,Das Pferd auf dem Kirchdach,en,(das) church roof,,
treibe,Eigentlich treibe ich auch gerne Sport,en,(ich) to do an activity (sport),,
anstrengende,Ich habe eine anstrengende Woche hinter mir und,en,"adj. hard, laborious, requires effort, difficult to endure, enfeebling",,
sowieso,"...ich muss die Kleinen sowieso jetzt wecken.""",en,"anyway, at any rate",,
bereich,Ich arbeite im Bereich Finanzen.,en,"(der, -e) n. domain, department",,
gewalt,...ganz ohne Druck oder Gewalt.,en,"(die) violence, force, power, control, mightiness,  command, authority, might",,
matschig,...waren und nicht so matschig oder staubig wie sonst...,en,"muddy, sludgy, slushy,",,
staubig,...nicht so matschig oder staubig wie sonst in dieser...,en,"dusty, powdery",,
geschäfts,Sie haben einen Geschäfts-termin in Wien und...,en,"(das, -s) n. pl. business",,
aufräumen,"Ich muss noch aufräumen, bevor meine Freundin kommt",en,to clean up,,
wahl,"...Ich hatte keine andere Wahl, außer die Treppen hinaufzusteigen.",en,"choice, option; vote, election",,
riskieren,...aber wir müssen es riskieren.,en,risk,,
tagesablauf,Mein Tagesablauf in der Woche,en,"agenda, schedule, (der)",,
langeweile,Berlin haben Sie nie Langeweile,en,(die); boredom,,
taschentuch,"Nach einem alten Taschentuch, einem Radiergummi, einem kleinen...",en,(das) handkerchief,,
angestellter,"Von Beruf ist er Angestellter, aber er verbringt viel...",en,clerk,,
ein gespräch führen,ich mit dem Chef ein Gespräch führen,en,to have a conversation,,
beschriebenes,Überall liegt beschriebenes Papier.,en,described   /   (Papier) written on,,
lieblingsfächer,Meine Lieblingsfächer sind Mathematik und Geschichte,en,(das) n. favorite subjects,,
berühmteste,Das berühmteste Ausstellungsstück ist jedoch das...,en,the most famous,,
deutschkenntnisse,"...deutsche Filme, um meine Deutschkenntnisse zu verbessern.",en,German language skills,,
versicherungskarte,Die Arzthelferin nimmt die Versicherungskarte von Julia.,en,(die) Insurance card,,
aufgewachsen,in Berlin geboren und aufgewachsen,en,grow up,,
genervt,Jan ist genervt.,en,"nervy, bold, impudent, edgy, snappish, nervous",,
dran sind,"Sie auf, wenn Sie dran sind "" Nach einer Weile wird",en,it's your turn,,
aas,Du neugieriges Aas!“ sagt Herr Beier und,uk,"падло, падаль мертвячина",,
übernatürliche,"...über Planeten, UFOs und übernatürliche Phänomene.",en,"supernatural, miraculous, paranormal, psychic, prenatural",,
schreibübungen,"Tutoren fragen, der Ihre Schreibübungen korrigiert",en,writing exercises (practice),,
gegen abend,Gegen Abend gehe ich wieder nach,en,Towards evening,,
durcharbeiten,zu Ihrer Schreibübung genau durcharbeiten,en,v. work though,,
handbuch,Regal liegt immer das Handbuch: „Wie du ein tüchtiger,en,"(das) handbook, manual, guidebook",,
kaugummi,...Porsche und einem alten Kaugummi hat er eine Halskette...,en,"(der/das, -s) chewing gum, bubble gum",,
hinterteil,Der Wolf verschlang das Hinterteil wie ein Stück Schinken...,en,"(das) the rump, backside",,
was ich tun soll,"Ich wusste nicht, was ich tun soll",en,what I should do,,
arzthelferin,Eine Arzthelferin begrüßt sie in der...,en,doctor's assistant,,
brei,habe ich ihr etwas Brei gegeben,en,"(der) porridge, mash, pap",,
geburtstagsfeier,ich morgen Abend zur Geburtstagsfeier von meinem Freund eingeladen,en,(die) Birthday party,,
frage stellen,kann ich dir eine Frage stellen,en,Ask a Question,,
schau mal,"Schau mal, die war im Kindergarten...",en,look here,,
ausgesucht,"...den Winter als Reisezeit ausgesucht, weil dann die Straßen...",en,chosen,,
bushaltestelle,fünfzehn (15) Minuten Zeit zur Bushaltestelle zu gehen,en,(die) bus stop,,
ziehe ich mich um,Dann ziehe ich mich um und bereite mir mein,en,i change my clothes,,
lastwagen,...Männer Kisten zu einem Lastwagen tragen.,en,"(der) truck, van, trucks, lorries, lorry, lorry, vans",,
merke,Aber ich merke es schnell und ich...,en,"(ich) v. notice, realise; [sich etw. ~] remember",,
losgefahren,Wann bist du losgefahren?,en,"v. take the road, hit the road, take off, begin a journey",,
kamillenseife,...Topf mit der flüssigen Kamillenseife und spazierte aus der...,en,(die) chamomile soap,,
flüssigen,...blauen Topf mit der flüssigen Kamillenseife und spazierte aus...,en,"fluid, flowing; liquid",,
waschbecken,...Kopf über das weiße Waschbecken gebückt.,en,washbasin,,
aufgelöst,Ihre Frisur war aufgelöst und hing wie drei...,en,"scattered, dispersed, spread, distributed",,
krug,...bringe mir mal den Krug mit dem warmen Wasser...,en,"(der) jug, pitcher",,
goß,Emils Mutter goß die Kamillenseife in das...,en,poured,,
schäumte,"...zu waschen, daß es schäumte.",en,foamed,,
eidgenössischen,...die Zulassungsprüfung an der Eidgenössischen Technischen Hochschule in Zürich...,en,"federal, swiss federal",,
mangelhaft,Literatur und Geschichte: mangelhaft.,en,"lacking, deficient, flawed",,
packte,Emil packte seinen Krug an und...,en,packed,,
waschtoilette,...seinen Krug unter die Waschtoilette.,en,(die) washing stand,,
zulassungsprüfung,...schreibt sich für die Zulassungsprüfung an der Eidgenössischen Technischen...,en,(die) admission test,,
